+-----------+------------+---------+-------------------------+
|festival_id|running_date|name     |number_of_staff_employeed|
+-----------+------------+---------+-------------------------+
|1          |2014-07-18  |Security |25                       |
|1          |2014-07-18  |Support  |13                       |
|1          |2014-07-18  |Technical|4                        |
|1          |2014-07-19  |Security |13                       |
|1          |2014-07-19  |Support  |7                        |
|1          |2014-07-19  |Technical|5                        |
|1          |2014-07-20  |Security |18                       |
|1          |2014-07-20  |Support  |10                       |
|1          |2014-07-20  |Technical|2                        |
|2          |2015-04-24  |Security |38                       |
|2          |2015-04-24  |Support  |15                       |
|2          |2015-04-24  |Technical|2                        |
|2          |2015-04-25  |Security |38                       |
|2          |2015-04-25  |Support  |15                       |
|2          |2015-04-25  |Technical|2                        |
|2          |2015-04-26  |Security |38                       |
|2          |2015-04-26  |Support  |15                       |
|2          |2015-04-26  |Technical|2                        |
|3          |2016-07-29  |Security |20                       |
|3          |2016-07-29  |Support  |8                        |
|3          |2016-07-29  |Technical|1                        |
|3          |2016-07-30  |Security |31                       |
|3          |2016-07-30  |Support  |13                       |
|3          |2016-07-30  |Technical|2                        |
|3          |2016-07-31  |Security |25                       |
|3          |2016-07-31  |Support  |10                       |
|3          |2016-07-31  |Technical|2                        |
|4          |2017-06-01  |Security |38                       |
|4          |2017-06-01  |Support  |15                       |
|4          |2017-06-01  |Technical|6                        |
|4          |2017-06-02  |Security |28                       |
|4          |2017-06-02  |Support  |11                       |
|4          |2017-06-02  |Technical|4                        |
|4          |2017-06-03  |Security |28                       |
|4          |2017-06-03  |Support  |11                       |
|4          |2017-06-03  |Technical|4                        |
|5          |2018-08-02  |Security |5                        |
|5          |2018-08-02  |Support  |2                        |
|5          |2018-08-02  |Technical|2                        |
|5          |2018-08-03  |Security |8                        |
|5          |2018-08-03  |Support  |3                        |
|5          |2018-08-03  |Technical|2                        |
|6          |2019-03-29  |Security |58                       |
|6          |2019-03-29  |Support  |23                       |
|6          |2019-03-29  |Technical|6                        |
|6          |2019-03-30  |Security |58                       |
|6          |2019-03-30  |Support  |23                       |
|6          |2019-03-30  |Technical|6                        |
|6          |2019-03-31  |Security |58                       |
|6          |2019-03-31  |Support  |23                       |
|6          |2019-03-31  |Technical|6                        |
|7          |2020-07-03  |Security |16                       |
|7          |2020-07-03  |Support  |6                        |
|7          |2020-07-03  |Technical|4                        |
|7          |2020-07-04  |Security |16                       |
|7          |2020-07-04  |Support  |6                        |
|7          |2020-07-04  |Technical|4                        |
|7          |2020-07-05  |Security |16                       |
|7          |2020-07-05  |Support  |6                        |
|7          |2020-07-05  |Technical|4                        |
|8          |2021-07-08  |Security |43                       |
|8          |2021-07-08  |Support  |17                       |
|8          |2021-07-08  |Technical|6                        |
|8          |2021-07-09  |Security |36                       |
|8          |2021-07-09  |Support  |15                       |
|8          |2021-07-09  |Technical|6                        |
|8          |2021-07-10  |Security |50                       |
|8          |2021-07-10  |Support  |20                       |
|8          |2021-07-10  |Technical|6                        |
|9          |2022-08-26  |Security |50                       |
|9          |2022-08-26  |Support  |20                       |
|9          |2022-08-26  |Technical|4                        |
|9          |2022-08-27  |Security |50                       |
|9          |2022-08-27  |Support  |20                       |
|9          |2022-08-27  |Technical|4                        |
|9          |2022-08-28  |Security |50                       |
|9          |2022-08-28  |Support  |20                       |
|9          |2022-08-28  |Technical|4                        |
|10         |2023-08-09  |Security |63                       |
|10         |2023-08-09  |Support  |25                       |
|10         |2023-08-09  |Technical|6                        |
|10         |2023-08-10  |Security |61                       |
|10         |2023-08-10  |Support  |24                       |
|10         |2023-08-10  |Technical|6                        |
|10         |2023-08-11  |Security |40                       |
|10         |2023-08-11  |Support  |16                       |
|10         |2023-08-11  |Technical|6                        |
|11         |2024-05-17  |Security |28                       |
|11         |2024-05-17  |Support  |11                       |
|11         |2024-05-17  |Technical|4                        |
|11         |2024-05-18  |Security |28                       |
|11         |2024-05-18  |Support  |11                       |
|11         |2024-05-18  |Technical|4                        |
|11         |2024-05-19  |Security |28                       |
|11         |2024-05-19  |Support  |11                       |
|11         |2024-05-19  |Technical|4                        |
|12         |2025-03-15  |Security |70                       |
|12         |2025-03-15  |Support  |28                       |
|12         |2025-03-15  |Technical|6                        |
|12         |2025-03-16  |Security |70                       |
|12         |2025-03-16  |Support  |28                       |
|12         |2025-03-16  |Technical|6                        |
|12         |2025-03-17  |Security |70                       |
|12         |2025-03-17  |Support  |28                       |
|12         |2025-03-17  |Technical|6                        |
|13         |2026-08-26  |Security |23                       |
|13         |2026-08-26  |Support  |9                        |
|13         |2026-08-26  |Technical|4                        |
|13         |2026-08-27  |Security |23                       |
|13         |2026-08-27  |Support  |9                        |
|13         |2026-08-27  |Technical|3                        |
|13         |2026-08-28  |Security |23                       |
|13         |2026-08-28  |Support  |9                        |
|13         |2026-08-28  |Technical|2                        |
|14         |2027-04-16  |Security |43                       |
|14         |2027-04-16  |Support  |17                       |
|14         |2027-04-16  |Technical|3                        |
|14         |2027-04-17  |Security |43                       |
|14         |2027-04-17  |Support  |17                       |
|14         |2027-04-17  |Technical|3                        |
|14         |2027-04-18  |Security |45                       |
|14         |2027-04-18  |Support  |18                       |
